method,dataset,metric,session,n,mean,sample_std,complete_10,source
FOWAC-UMR,LS-100,f1,3,10,0.7750376,0.09526562645361654,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,f1,4,10,0.8275979999999998,0.07309774208399175,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,inc,1,10,0.9057999999999999,0.04628846748621326,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,inc,2,10,0.7607999999999999,0.05817941598576289,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,inc,3,10,0.5923332,0.04991068120998195,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,inc,4,10,0.55715,0.05546122268957132,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,all,1,10,0.9321529,0.002800655496684865,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,all,2,10,0.9141111000000001,0.006503482664439626,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,all,3,10,0.878537,0.007026973143221452,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,all,4,10,0.8571300000000001,0.010193249400134052,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-DS,LS-100,known,1,10,0.9588318000000001,0.0323824357803218,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,known,2,10,0.9789352000000001,0.03406351414245648,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,known,3,10,0.7114762000000001,0.17648758209120552,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,known,4,10,0.9252381,0.11124255393053904,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,unknown,1,10,0.9495941999999999,0.044155853199019185,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,unknown,2,10,0.7829168,0.22291795130884665,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,unknown,3,10,0.5369498,0.17435713033808894,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,unknown,4,10,0.6488645,0.23253591035997956,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,auroc,1,10,1.0,0.0,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,auroc,2,10,0.9872,0.022157416616363723,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,auroc,3,10,0.8343999999999999,0.03428507935920037,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,auroc,4,10,0.9569599999999999,0.04369071093747756,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,f1,1,10,0.9772107999999999,0.018259057361576295,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,f1,2,10,0.9381740000000001,0.07017023977442288,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,f1,3,10,0.7985865,0.08873622436844304,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,f1,4,10,0.9042258000000001,0.073928749384195,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,inc,1,10,0.8795999999999999,0.047448685732881773,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
