method,dataset,provenance,seed,base_acc,inc_aa,final_inc,all_aa,auroc_aa,osr_f1_aa,source
OPCR-acoustic,FSC-89,paper-reimplementation,3427,0.5592753623188406,0.011770833333333333,0.00775,0.4659897752749499,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3427/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3428,0.5592753623188406,0.0115625,0.00725,0.4659468044349285,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3428/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3429,0.5592753623188406,0.0056458333333333326,0.00575,0.4653181963558332,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3429/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3420,0.857125,0.42625,0.307,0.7948408152734777,0.8562000000000001,0.8041092938633922,artifacts/opcr/ls100/seed3420/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3421,0.857125,0.43012500000000004,0.3225,0.7958658152734778,0.8557999999999999,0.8041092938633922,artifacts/opcr/ls100/seed3421/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3422,0.857125,0.43012500000000004,0.3225,0.7958658152734778,0.8562000000000001,0.8041092938633922,artifacts/opcr/ls100/seed3422/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3423,0.857125,0.42625,0.307,0.7948408152734777,0.8562000000000001,0.8041092938633922,artifacts/opcr/ls100/seed3423/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3424,0.857125,0.43012500000000004,0.3225,0.7958658152734778,0.8562000000000001,0.8041092938633922,artifacts/opcr/ls100/seed3424/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3425,0.857125,0.42625,0.307,0.7948408152734777,0.8557999999999999,0.8041092938633922,artifacts/opcr/ls100/seed3425/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3426,0.857125,0.4713333333333333,0.359,0.8018326281389749,0.8562000000000001,0.8041092938633922,artifacts/opcr/ls100/seed3426/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3427,0.857125,0.43012500000000004,0.3225,0.7958658152734778,0.8562000000000001,0.8041092938633922,artifacts/opcr/ls100/seed3427/metrics.json
