method,dataset,repeat,session,auroc,aupr,fpr95,cluster_acc,nmi,ari,source_log
TEEN,FSC-89,1,1,1.0,1.0,0.0,0.5833,0.5486,0.3068,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,1,2,0.2608,0.4376,1.0,0.2353,0.9646,0.9494,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,1,3,0.6336,0.5483,0.56,0.3478,0.746,0.4494,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,1,4,0.8656,0.7714,0.12,0.3571,0.4965,0.1302,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,2,1,1.0,1.0,0.0,0.4,0.2942,0.0207,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,2,2,0.5984,0.5814,0.72,0.5,0.9496,0.8772,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,2,3,0.5648,0.4942,0.52,0.0789,0.5159,0.1234,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,2,4,0.6032,0.6094,0.72,0.1795,0.6169,0.2058,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,3,1,1.0,1.0,0.0,0.6364,0.4684,0.1801,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,3,2,0.3424,0.4023,0.92,0.2,0.8741,0.624,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,3,3,0.0656,0.3262,1.0,0.0,0.0,0.0,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,3,4,0.7296,0.6548,0.44,0.1081,0.5184,0.1344,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,4,1,1.0,1.0,0.0,0.5417,0.53,0.2399,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,4,2,0.5632,0.6205,1.0,0.4375,0.9388,0.8998,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,4,3,0.7168,0.6446,0.48,0.15,0.6002,0.2522,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,4,4,0.2864,0.3894,0.76,0.0526,0.9771,0.9795,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,5,1,0.9712,0.9786,0.32,0.6364,0.7115,0.4612,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,5,2,0.8752,0.8801,0.48,0.5789,0.6873,0.3556,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,5,3,0.8688,0.8106,0.4,0.0976,0.616,0.2587,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,5,4,0.6176,0.6189,0.64,0.1892,0.5865,0.2081,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,6,1,0.992,0.9933,0.0,0.4167,0.4147,0.0943,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,6,2,0.4416,0.4383,0.6,0.2,0.6514,0.2463,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,6,3,0.472,0.4592,0.68,0.1875,0.8,0.4067,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,6,4,0.5488,0.4875,0.56,0.2308,0.8983,0.7896,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,7,1,0.984,0.9886,0.0,0.5652,0.5034,0.2442,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,7,2,0.5632,0.5311,0.72,0.2667,0.8611,0.7276,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,7,3,0.64,0.5742,0.96,0.3448,0.7429,0.5225,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,7,4,0.4096,0.443,1.0,0.1579,0.6828,0.4097,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,8,1,0.9632,0.9719,0.32,0.6364,0.5392,0.3448,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,8,2,0.1728,0.3491,1.0,0.0833,1.0,1.0,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,8,3,0.7584,0.7414,0.6,0.4091,0.6616,0.4126,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,8,4,0.7504,0.7167,0.48,0.1163,0.7288,0.2932,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,9,1,0.9808,0.987,0.0,0.619,0.5226,0.2054,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,9,2,0.7392,0.6705,0.36,0.4194,0.7881,0.482,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,9,3,0.7616,0.7157,0.44,0.1724,0.5695,0.1573,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,9,4,0.3424,0.4163,0.92,0.1818,0.9517,0.9509,logs/raw_v2_teen_fsc89_10runs.log
FOWAC-UMR,LS-100,0,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,0,2,0.9712,0.9737,0.16,0.9091,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,0,3,0.8608,0.9191,0.92,0.5769,0.8098,0.662,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,0,4,0.808,0.6673,0.2,0.6333,0.8292,0.6565,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,1,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,1,2,0.9968,0.9969,0.04,0.76,0.856,0.6863,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,1,3,0.6816,0.7972,1.0,0.6364,0.6642,0.3755,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,1,4,0.9008,0.8815,0.2,0.4286,0.8867,0.6909,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,2,1,1.0,1.0,0.0,0.9583,0.9351,0.8957,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,2,2,0.9696,0.9495,0.04,0.9231,0.906,0.8323,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,2,3,0.8,0.8957,1.0,0.2903,0.7091,0.483,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,2,4,0.8208,0.7742,0.32,0.4286,0.8449,0.637,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,3,1,1.0,1.0,0.0,0.96,0.9352,0.8929,logs/raw_v2_umr_ls100_10runs.log
